cell_type	status	count
Alveolar1	untreated	6.28930817610062
Alveolar1	treated	10.8274679736374
Alveolar2	untreated	7.45288376029914
Alveolar2	treated	13.6007282951653
Basal	untreated	3.09108246815168
Basal	treated	8.19124600265792
Ciliated	untreated	4.54180193500692
Ciliated	treated	8.41835133832214
Club	untreated	4.86430308679674
Club	treated	9.81911571458854
PNEC	untreated	1.32107614670052
PNEC	treated	2.13771719778614
NK	untreated	3.0975110625395
NK	treated	9.19865803585584
T	untreated	4.06180022071508
T	treated	12.3492357132788
B	untreated	3.33215475769556
B	treated	8.0225008144964
Macro	untreated	10.0296786774238
Macro	treated	17.7234217957597
Eryth	untreated	2.02929296176058
Eryth	treated	2.49199409008556
Arterial	untreated	3.1692970332037
Arterial	treated	7.28729643086934
Cap1	untreated	4.56644488016028
Cap1	treated	10.617745074947
Cap2	untreated	4.0093000332144
Cap2	treated	9.47414067479644
Lymphatic	untreated	2.95501055360912
Lymphatic	treated	7.55706477871476
MatrixFib1	untreated	6.39645141589792
MatrixFib1	treated	12.053545204954
MatrixFib2	untreated	5.40001928578316
MatrixFib2	treated	10.2285617325565
Myofib	untreated	3.87965671305968
Myofib	treated	8.18113164927028
Pericyte	untreated	4.14430051535898
Pericyte	treated	9.00622466196524
